hub_state,hub_city,city,state,latitude,longitude,distance_miles,delivery_count
GA,Pendergrass,Winder,GA,33.9917,-83.7218,12.15,9
GA,Pendergrass,Winterville,GA,33.9666,-83.2815,26.73,0
GA,Pendergrass,Woodstock,GA,34.1026,-84.5091,47.46,1
IA,West Des Moines,Adel,IA,41.6101,-94.0124,12.63,1
IA,West Des Moines,Altoona,IA,41.6483,-93.4783,16.97,1
IA,West Des Moines,Ames,IA,42.0256,-93.6217,33.72,0
IA,West Des Moines,Ankeny,IA,41.7288,-93.6031,15.27,3
IA,West Des Moines,Boone,IA,42.0531,-93.877,34.97,0
IA,West Des Moines,Carlisle,IA,41.5118,-93.495,15.03,0
IA,West Des Moines,Chariton,IA,41.0175,-93.3097,44.3,2
IA,West Des Moines,Clive,IA,41.6147,-93.798,4.42,0
IA,West Des Moines,Creston,IA,41.0598,-94.365,45.57,0
IA,West Des Moines,Des Moines,IA,41.5725,-93.6105,8.91,5
IA,West Des Moines,Grimes,IA,41.6779,-93.7947,8.72,2
IA,West Des Moines,Jefferson,IA,42.0173,-94.3799,44.57,1
IA,West Des Moines,Nevada,IA,42.0184,-93.4633,36.13,1
IA,West Des Moines,Ogden,IA,42.0395,-94.0282,36.01,0
IA,West Des Moines,Pleasant Hill,IA,41.5867,-93.4953,14.94,2
IA,West Des Moines,Urbandale,IA,41.639,-93.7812,6.0,8
IA,West Des Moines,West Des Moines,IA,41.5521,-93.7806,0.0,19
ID,Boise,Boise,ID,43.6005,-116.2308,0.0,1
IL,Edwardsville,Alton,IL,38.9037,-90.152,11.74,1
IL,Edwardsville,Baldwin,IL,38.1838,-89.8451,42.74,4
IL,Edwardsville,Belleville,IL,38.5164,-89.99,19.06,2
IL,Edwardsville,Breese,IL,38.6138,-89.523,27.91,1
IL,Edwardsville,Collinsville,IL,38.677,-90.0063,8.02,3
IL,Edwardsville,Dupo,IL,38.5146,-90.2168,22.83,2
IL,Edwardsville,East Alton,IL,38.884,-90.1074,9.05,3
IL,Edwardsville,East St. Louis,IL,38.6155,-90.1304,14.44,1
IL,Edwardsville,Edwardsville,IL,38.7922,-89.9874,0.0,126
IL,Edwardsville,Fairmont City,IL,38.6504,-90.1024,11.59,0
IL,Edwardsville,Fairview Heights,IL,38.5974,-90.0053,13.49,1
IL,Edwardsville,Godfrey,IL,38.9577,-90.2156,16.78,0
IL,Edwardsville,Granite City,IL,38.7296,-90.1268,8.67,7
IL,Edwardsville,Greenville,IL,38.8867,-89.3894,32.84,1
IL,Edwardsville,Highland,IL,38.7602,-89.6812,16.64,3
IL,Edwardsville,Hillsboro,IL,39.1752,-89.4723,38.28,1
IL,Edwardsville,Lebanon,IL,38.6005,-89.8114,16.29,1
IL,Edwardsville,Litchfield,IL,39.1954,-89.63,33.83,0
IL,Edwardsville,Madison,IL,38.7024,-90.1501,10.74,1
IL,Edwardsville,Mascoutah,IL,38.5192,-89.8045,21.29,1
IL,Edwardsville,Mount Olive,IL,39.0726,-89.7277,23.88,4
IL,Edwardsville,Nashville,IL,38.3541,-89.377,44.76,0
IL,Edwardsville,Pontoon Beach,IL,38.7208,-90.0609,6.33,1
IL,Edwardsville,Red Bud,IL,38.2096,-89.9989,40.26,1
IL,Edwardsville,Sauget,IL,38.5842,-90.1608,17.15,1
IL,Edwardsville,Sparta,IL,38.1513,-89.7185,46.61,1
IL,Edwardsville,Trenton,IL,38.6083,-89.6852,20.66,0
IL,Edwardsville,Valmeyer,IL,38.3064,-90.2979,37.53,1
IL,Edwardsville,Vandalia,IL,38.9754,-89.1117,48.77,0
IL,Edwardsville,Vernon,IL,38.8014,-89.0875,48.46,5
IL,Edwardsville,Washington Park,IL,38.6285,-90.0928,12.66,0
IL,Edwardsville,Waterloo,IL,38.3403,-90.1538,32.49,1
IL,Edwardsville,Wood River,IL,38.8631,-90.0774,6.89,1
IN,Whitestown,Alexandria,IN,40.263,-85.6737,41.57,1
IN,Whitestown,Anderson,IN,40.0891,-85.6892,36.48,16
IN,Whitestown,Arlington,IN,39.6458,-85.5797,47.16,1
IN,Whitestown,Avon,IN,39.7601,-86.3916,14.63,18
IN,Whitestown,Bloomingdale,IN,39.8306,-87.2502,48.1,0
IN,Whitestown,Bringhurst,IN,40.5269,-86.5251,39.4,0
IN,Whitestown,Brownsburg,IN,39.8337,-86.383,9.53,37
IN,Whitestown,Carmel,IN,39.965,-86.146,11.4,4
IN,Whitestown,Clayton,IN,39.6892,-86.5234,21.26,10
IN,Whitestown,Crawfordsville,IN,40.0428,-86.8976,28.82,17
IN,Whitestown,Delphi,IN,40.5834,-86.6668,45.3,1
IN,Whitestown,Edinburgh,IN,39.3509,-85.9625,47.78,2
IN,Whitestown,Elwood,IN,40.2738,-85.8374,34.71,4
IN,Whitestown,Fairland,IN,39.5849,-85.8627,37.56,0
IN,Whitestown,Fishers,IN,39.9588,-85.9659,20.95,23
IN,Whitestown,Frankfort,IN,40.281,-86.5212,23.05,10
IN,Whitestown,Franklin,IN,39.4948,-86.0544,36.69,102
